Thuật toán,Accuracy,F1-Score (Macro),ROC AUC (OVR)
Bagging,0.9365079365079365,0.934938120495036,0.9901738473167044
Random Forest,0.9206349206349206,0.9191697191697191,0.9829931972789115
Gradient Boosting,0.9206349206349206,0.9198078344419809,0.9784580498866212
Decision Tree,0.8888888888888888,0.8878498762219693,0.9166666666666666
MLP (Neural Net),0.8888888888888888,0.8862026862026863,0.9727891156462585
kNN (k=5),0.873015873015873,0.8712842712842713,0.9812925170068029
SVM (RBF),0.873015873015873,0.8712842712842713,0.9852607709750566
Logistic Reg,0.8571428571428571,0.8542938542938542,0.9856386999244142
AdaBoost,0.8412698412698413,0.8376811594202899,0.9682539682539683
Naive Bayes,0.8253968253968254,0.8250600661861371,0.9701436130007558
